Hidden Layers,Train MSE,Val MSE,R2
1,0.27877437472343447,0.2841905117034912,0.7137258951687591
2,0.21029493510723113,0.2267245054244995,0.7608577846986082
3,0.18686922788619995,0.21565541625022888,0.7715269503304589
4,0.10679587125778198,0.12157313227653503,0.7634477449086274
