Model,Final_Train_Loss,Final_Val_Loss,Test_Accuracy
No_Regularization,0.11179457604885101,0.2282303124666214,0.9333333373069763
L2_Regularization,0.1282181739807129,0.23215351998806,0.9333333373069763
L1_Regularization,0.1775258183479309,0.24825210869312286,0.9200000166893005
Dropout,0.2551810145378113,0.31335514783859253,0.9066666960716248
Early_Stopping,0.11929020285606384,0.24181009829044342,0.9466666579246521
