Hidden Layers,Train MSE,Val MSE,R2
1,0.5749635219573974,0.575092875957489,0.487911284885737
2,0.839877450466156,0.8400614619255066,0.17249183006792368
3,0.9601638793945313,0.9605658411979675,0.03985518078587302
4,0.9927327036857605,0.9926770925521851,0.0043950496267392
