Hidden Layers,Train Loss,Train Acc,Val Loss,Val Acc,Test Acc
1,0.09027063846588135,0.15537017583847046,0.08713448643684388,0.1575,0.7375
2,0.06698351502418518,0.17017726898193358,0.09974907040596008,0.15416666666666667,0.7375
3,0.07424930930137634,0.16830031871795653,0.0850671112537384,0.15916666666666665,0.75
4,0.08137666583061218,0.1643378496170044,0.10338637828826905,0.15,0.7725
