Hidden Layers,Train Loss,Train Acc,Val Loss,Val Acc,Test Acc
1,0.5057977894809373,0.7595922401807439,0.5242330729961395,0.7614783821478381,0.7375
2,0.5082294617494363,0.7550052137643378,0.5285418570041657,0.7456415620641561,0.7425
3,0.5312756144675191,0.7433270333680918,0.548152756690979,0.7364609483960949,0.745
4,0.6284936992658855,0.6964114094542927,0.6334550261497498,0.703926080892608,0.7175
