Hidden Layers,Train MSE,Val MSE,R2
1,0.2788025915622711,0.28387619853019713,0.71296606379671
2,0.20736865997314452,0.22504687309265137,0.763315417918215
3,0.18362886607646942,0.21489447951316834,0.7812351947724488
4,0.18191424310207366,0.21589441895484923,0.7801698231208056
