Hidden Layers,Train MSE,Val MSE,R2
1,0.5749739646911621,0.5751032948493957,0.4879017829807999
2,0.83988938331604,0.8400734186172485,0.17247897769847154
3,0.9601688861846924,0.9605709075927734,0.03985049510938754
4,0.9927341341972351,0.9926784992218017,0.004393858130792738
